,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
6307,507.82480537806623,952.1532169319748,291.79290087376177,105.55899008191598,258.7333429148387,345.77979584990436,958.7889950544229,163.3230124283128,91.8058674736153,178.56496135484255,155.65541483160695,756.1190405890401,-1650.880627199219
5336,546.9678937458768,962.9195691939327,242.19294313116362,139.2142474765641,,343.30196378497885,886.0709418894025,168.43043518928866,89.26130499570534,208.96006448051435,142.36505007249923,832.9626519915679,-1677.3305023009295
8713,524.8982422240659,908.2353189794438,258.82943315507276,126.88801570841768,242.44609322271833,291.26946807667923,1050.934569082076,148.7260128613545,95.6463344611653,169.85807850405592,159.15026827125612,,-1621.9998113039874
4078,,961.9679615444436,215.39065552421334,119.8206025560738,277.5952534388806,332.80900037993365,970.780000346092,133.31944378384765,97.34709873441403,199.6515005689074,174.9227690399494,778.1953786977452,-1622.9717930720376
1537,550.1661898166549,891.3210646457526,236.91791080485285,87.49533753518303,313.8042303164845,380.42907675631267,918.910071637023,157.95604042951106,88.81253505700563,181.5437015423235,162.8205065983934,932.4990524970226,-1596.4557197204704
3349,522.9522638837649,1022.4517188071056,240.943721094661,99.52534307814605,174.52836814162004,342.5666000401954,899.2230823423977,187.7846230479255,87.20040101384674,195.78377412547295,169.99004958327203,668.4630240054237,-1648.437931689213
3416,530.4523582231766,951.0235659592063,286.59496634143255,124.52163752841086,213.90894667491244,258.61213588580245,849.8727360391166,194.84776320374866,88.64386586854121,192.99397118791128,154.37208162730826,1013.0327231048511,-1645.508463711013
8253,512.1702429393683,954.4912403405693,314.3566916685578,146.5118367844104,270.05365519150746,354.7879963140234,,158.46038278540013,90.91357854252635,179.5021667202442,,776.6647607133897,-1602.2091169487644
828,494.2452637418021,973.8223866634319,260.332582375829,114.73245896435427,281.12142405672466,322.24900497855043,910.9979239128114,200.82046325987992,85.63003204218852,188.12065594252934,176.66830693129006,701.0707228605563,-1528.6825943108952
8043,540.5061561385043,938.0687973135205,232.3775659123209,106.10091590027363,260.29635387923423,289.49767409217526,776.4737036235401,144.1774926393872,86.45070729038108,177.23474433773393,148.14667588452915,800.2539219120763,-1494.8781461413807
8802,593.6549907199982,983.5322901370831,253.3733667653112,117.93941059971897,243.07653548133132,314.99178109034625,843.8010024916958,148.48636681423702,81.03376920548108,178.88563916829105,157.2119460196773,895.0129694742309,-1622.599286719817
9633,521.1571336557535,893.7560843778907,,135.61695923565128,259.8273318427911,239.92318178789566,933.264834924371,161.0700366227251,88.6803775019327,159.32489117825438,164.4536697643055,1019.908591000551,-1580.9490700448962
7144,535.7409946099582,890.7092986830534,268.1555107104734,98.35360884182106,315.72315962261945,330.8678380034494,926.3588678234224,188.9000054343247,78.4184455035564,,180.57429665365314,869.6190723356988,-1524.2394816793121
7181,576.6851808625531,1029.5525197012867,275.79727686313674,105.71434618541156,195.4651989464722,388.7174238645307,992.3543821017398,174.95729556005057,76.57882332323169,191.07170871494523,162.401223118741,730.6180248213941,-1758.2130577403204
7934,542.9752331032842,961.9099328006565,262.79562125926816,78.25012576662084,266.2495210267943,300.13980248486394,869.8414898522824,,82.54899040913115,184.88063408234873,141.7432105855732,921.8153742198535,-1609.5447788121396
3015,537.7316548427536,865.7778613843287,253.56886737674952,111.45314035284439,,269.90351471035484,1063.6536903223855,147.63741032712346,76.07448458139314,210.43695547986133,172.56144267194557,922.446331646473,-1670.4578556919573
3813,534.4261558579317,987.7761935498967,,114.85385629241893,200.92410442633152,360.6262745480951,963.5258551476627,151.53942790050166,89.9590091906379,167.58585685221013,164.03287986657486,784.2286233170752,-1718.8305618817367
4323,545.9037549617454,984.0632198791993,298.65682781863376,124.26800355767693,272.36170816346635,287.7227707693547,1080.0570005106993,146.97505315129604,85.10719903516149,188.32749557191622,149.3484895290624,835.8269461118638,-1740.4302592993333
6107,584.7116375335079,,246.67632817914148,139.94297801054404,212.50249480219014,323.841474804185,884.1984533186597,176.6161627124296,70.17371020992647,205.2822601257953,172.9641127754508,905.0409028569732,-1676.026094154649
4551,560.4613156781044,887.7917144553938,263.95168720870925,111.93326581267377,231.86715635356643,357.25678546880886,1006.2955732699388,179.68122770356325,86.71346222646999,168.63818161562213,168.32825606039904,810.5467523401207,-1621.1183414196867
3473,549.8039873678817,1023.0666126874062,239.56248558071337,106.33912718853449,322.05473314551597,256.05155565716757,893.4885394069422,161.66987577992114,86.89703383840197,160.57289054371296,161.09552515660403,667.0087667782707,-1477.1137855887048
7747,547.3872869777118,982.1104116325972,315.03755788011676,89.72869190286085,335.0661307221533,396.04966691304975,906.9207209590476,150.47224471940976,88.57727890367943,196.9554351743456,155.12259924149828,1098.3663054872325,-1785.1990911744083
1094,575.1312271928234,861.3871475640866,310.63253128575286,,381.31215880306013,277.6024660749648,952.6413543818201,188.99093724862902,,170.08850931138463,168.9225546611514,,-1413.230797190735
1450,501.77622800561613,956.176862184161,285.1366156719648,98.02220245934443,227.37243822191292,248.32759433442982,987.868700774931,108.4042183221429,,,130.728292880636,885.7636570001623,-1764.7381947271285
3101,559.5682148612879,946.497932682586,263.6461953703584,113.01155487264937,257.99141353529484,303.15294816773707,841.8582039802368,169.07296289469284,77.96159388203064,184.68488268013792,163.0481725869871,813.3467406217808,-1540.1059169051853
8273,523.5753226555889,903.9219301283979,,118.60581204669555,220.54280368294383,369.1752028609921,820.4470387949108,140.76679317990548,82.57539362924264,155.6071241965901,166.11654365830978,835.8262598786077,-1578.4485621337258
6220,525.5227372601237,962.3120153827483,324.51268750531534,137.57409670694625,166.72479220655137,173.5328309552839,937.0603153995944,178.94091860341547,89.17648635717651,197.20522808625594,157.2828248597407,782.8378155235445,-1635.1199855263105
9353,513.6810012196793,888.0553016310321,294.1144401731011,101.52374798282386,272.3732949051512,332.9921800357844,906.6407567674285,154.24631237433402,83.99729793140058,,154.6278603661631,721.9977002742539,-1549.2733971502755
58,548.817105112289,907.5808870541971,295.1743136286356,130.95612134979658,251.3101282339024,330.7277752582046,905.782241406057,132.68751235036174,93.05558745546985,190.41442801039793,155.8071372657884,,-1672.0232263753521
5213,542.824421579658,947.8586602424716,323.4129085803561,132.71527308474145,217.3692859178428,429.3647279199708,897.7590778755617,161.84940065977185,84.3414295594285,175.86714091418278,178.3051560516635,641.1342646865357,-1636.9980650303473
634,519.5917928188509,980.2673620578828,257.98945284731917,143.70769776325386,230.93515180307074,357.02495562102513,1063.5605699206685,200.12094936567834,89.33899401791777,179.7064484181847,148.11093177114364,895.8940257695085,-1749.4687197743756
1615,543.4286431564758,949.4506909087978,287.655542221298,153.73397787223078,255.29328899616416,310.5127532015534,927.5829619310184,176.81012998287807,100.93531633697401,182.49670934850442,150.1048769297964,783.4259514171214,-1607.688843791374
3785,565.5064361259739,894.9522786855487,217.58902495124659,,157.8650379725857,254.33213051132105,1035.388149111019,182.6684278992363,75.4240365349589,194.66244346170683,145.14764325073892,800.6432510208155,-1619.0431691257347
2834,476.54313338954177,968.7995080301336,296.87787852416693,96.47988192435616,246.74779662965366,301.30431302329856,897.2723403094342,148.12390105304416,81.49694978317129,175.84070467794112,152.8214931438925,872.8317785812442,-1665.625508183531
1268,513.0563365770221,927.897701890648,273.5237531966058,149.6503122004581,195.41280407256338,304.33949968628355,927.7433526090549,170.4152780550789,109.81454016751599,198.58330443371602,167.41441325615327,704.4328375412244,-1610.4427871443454
4550,562.838908214097,1002.0585844453527,263.14559646491523,78.51877065071807,183.3444214487922,301.2658828388485,914.9048426214837,134.67589567441678,77.11931618761632,206.3064424921786,158.44327730460705,901.7354477256376,-1763.5251157041448
5731,531.2841732540585,1026.7131754110922,287.48017773522423,93.77465933884054,242.36409309046607,326.27310051342033,826.3120514825739,165.08621271927808,80.04010046221397,200.75357543604724,169.41426047316236,900.2294935491568,-1685.0743259165677
9366,538.5466359251716,966.4705522685047,260.1570608326652,120.90597647201521,260.8948957987934,,,156.21203250637046,80.22352144919051,179.50991734314067,152.31204235986758,654.031582690792,-1580.6428340704038
3520,563.1144189744232,961.5084968650123,302.6299159373132,106.83070281290786,226.43176156860648,325.9097792865579,930.3859650815882,152.69482219217332,91.6787639784733,176.61587109347602,153.25553301379205,686.7672423673594,-1640.0598149677196
8890,576.3717093882603,974.2844549514936,280.7003957015483,131.09393616811485,229.0678515467319,306.38842305724705,833.9787865469618,166.95017920339703,88.03248920473848,,157.13786297548737,678.7750126465038,-1563.6613292484285
9041,547.9937047399649,960.6808034059542,282.21772721814676,94.10825469604633,262.50035391328356,232.369034045897,905.7989530837531,133.70377351296685,78.02573745983422,169.73332701429698,134.94375029675572,,-1565.253369829197
1907,599.2110218938853,899.8490394041788,351.17109011810334,105.16095882236189,278.6953432889755,373.44768219347156,878.7408839158221,182.3598279660933,86.63737848946239,195.6486035951724,157.84703999411863,904.9640678402386,-1655.0848580117754
9624,531.4823895613989,950.4019874810492,265.09861259410326,122.31522958456267,184.43274748133115,298.26172142910707,915.1096296807651,135.9310451072094,80.60729659953333,193.73712020553387,167.46612367554494,814.749142102078,-1663.8824735850421
4035,489.7711401428359,955.4983522160301,253.0507773637614,103.16173721646331,188.14698161167942,307.91411197762477,792.5932482577485,151.49748368363663,88.18395495753911,164.34841810441662,,735.8412977009211,-1571.1289899282938
3039,559.870966752916,976.4024377014895,307.16714286641354,108.74461516580513,282.63192881976715,275.13101037035284,,164.15785544507716,75.08407636367205,202.15709851011565,177.66217241994016,674.608364142258,-1580.9359997256674
4528,524.3062205479956,965.0630814834774,323.9027890338689,102.48154667071205,285.7227185938462,387.3467161206488,863.3438163974458,192.74591892051316,87.67430355299146,178.10338206334964,171.79243127292438,915.2723452180192,-1657.981346208036
9532,549.1272665042444,851.939321350035,307.82666450719427,145.21510658055976,223.33765329781374,341.37059238256313,1018.5180114617813,193.80644766130223,76.97396492115334,183.26805963292716,174.17853259272107,758.6893036070533,-1586.5278048229882
6000,498.9613338144431,935.0720166128489,234.98620886228247,103.35330707703571,152.17314136927598,274.5928766027861,750.8491711496604,170.20024423099176,93.9899600808942,175.55198328884882,135.36635208851166,785.9990980031255,-1544.9290523543516
4544,529.3553971103217,,273.20531909124594,146.4396946158946,256.8734001287088,282.9952674053302,810.1448949703985,185.8336389939813,89.48718898340985,184.50312062544947,160.07590649768898,654.7885338781152,-1469.5986489744785
2086,550.8062028443011,927.9832084506606,297.04621901242564,87.19503876343127,258.65779831487555,246.57763215104302,919.8088039287642,204.96924690688255,85.35234238010132,183.03818496433635,159.60184077042624,714.1467494390469,-1513.4394878913104
2859,545.6031187602208,963.7035981090232,256.5733468004001,67.50242721317957,380.2287143572472,252.66384370399032,920.4996270033549,162.54689774754576,83.91996894517965,182.13734720418105,166.57098957190718,958.3054299354749,-1548.2617903375492
6885,512.9670974670004,971.6606364988005,357.01622085764086,72.41821930851145,175.01478314056578,271.2065818264713,927.6425373896644,160.35850669844922,,194.57011436480718,155.56374494716792,847.3096933954996,-1769.196382764482
7552,554.7196341808931,910.7203038292465,295.1801367362397,73.15678140780642,214.92537331012545,398.78685236776346,886.4734238177455,202.20712658337763,100.56818687120507,209.45794504537972,168.32499126757662,900.5176952776712,-1706.4371845960015
3372,488.4318957063572,963.7179385622514,231.00178496745085,96.70184092842649,333.187321186754,380.23118902528046,933.4576966942735,175.3655951273975,75.99856369029924,152.39964832282524,177.4409457610152,574.2622453833087,-1448.6870344292188
1294,531.7656611774833,991.1419548469656,291.8921102253225,140.6947985126917,172.3759498093959,380.7223644127774,993.5638198804585,149.7033805281911,78.0007873404299,203.3915965536158,162.17185697442753,729.7151107954594,-1771.9151003621603
2751,554.4924439508947,950.6454855994914,287.6855356718489,97.62065416883354,228.86625219345086,301.7721666654998,895.6397000401083,179.0666613670016,88.42702456093016,178.66373526910542,173.80864305592826,930.9315113409423,-1649.2487669128686
2363,545.9215683823991,865.698952361626,281.0906652100709,79.39785196887979,210.4162720789154,414.4243845536047,988.0916444186008,148.70093980996285,82.37853620569813,173.88244993584783,168.0945981574361,761.621680493249,-1671.495712695083
159,563.6193585181734,1003.7770360834653,250.87959442950083,92.6426334185087,309.15556454633156,269.5249744985195,862.2548359123066,148.75634469059509,65.21263042534221,188.25584211917456,174.45562320127323,817.7626799385906,-1534.765435862253
1201,528.5168231325313,875.6840827238385,277.10316467528514,118.25326697106297,207.69374568780603,360.55791093865963,862.1348257257176,152.09073931765866,84.89331302931811,178.89050761981068,159.3969150062111,884.6784022212121,-1620.4114662740967
1673,532.3542517749798,886.6584910072464,321.48459380012974,101.79694127553927,202.29689890448603,,1010.4972847539841,146.47056953236807,78.246273549714,168.15428186767627,171.77798682696536,740.1034758779009,-1606.7960594762321
8825,521.8941919057128,939.2973822260076,259.27542734833884,148.89530985090144,244.80876990309446,311.5914351232062,875.3558935711909,184.02894092825716,92.23967353894018,186.6580077875913,147.32384062921543,924.6366184613946,-1609.2738943537697
8798,498.4071660767529,814.9705527198453,279.6410909194821,124.3006908540192,357.5365484519413,268.569309479242,777.0538111428639,145.55415758850162,98.95958953385798,167.5122824223466,161.30658017189205,808.9913013427707,-1344.5865259805341
3974,590.6382502771335,1058.1800500566249,,124.72145730978747,207.6509066337457,349.14900413054175,1012.0536018072445,184.80721764042076,84.02271510060389,179.9106576773991,195.69474050108946,739.3928200681835,-1708.557725776139
